filename,character,content
[cd01-0000][00.02.74-00.06.56].ogg,Willem,終末なにしてますか？忙しいですか？救ってもらっていいですか？
[cd01-0001][00.07.32-00.08.33].ogg,Willem,スペシャルオーディオドラマ
[cd01-0002][00.09.45-00.11.07].ogg,,「ショートショート詰め合わせ」
[cd01-0003][00.17.33-00.18.92].ogg,,六年八班
[cd01-0004][00.19.15-00.20.88].ogg,,ヴィレム先生
[cd01-0005][00.21.42-00.22.50].ogg,Almita,出欠編
[cd01-0006][00.25.53-00.26.38].ogg,Almita,起立！
[cd01-0007][00.28.33-00.28.84].ogg,Almita,礼！
[cd01-0008][00.29.80-00.31.34].ogg,,おはようございます
[cd01-0009][00.31.72-00.32.99].ogg,,ヴィレム先生！
[cd01-0010][00.33.40-00.34.33].ogg,Willem,おーっす
[cd01-0011][00.34.83-00.36.30].ogg,Willem,じゃあ出欠とるぞ
[cd01-0012][00.37.20-00.38.24].ogg,Willem,出席番号一番
[cd01-0013][00.38.80-00.40.26].ogg,Willem,アイセア・マイゼ・バルガリス
[cd01-0014][00.40.48-00.41.48].ogg,Ithea,ほーい！
[cd01-0015][00.41.87-00.43.99].ogg,Willem,返事は「はい」だろ、アイセア
[cd01-0016][00.44.16-00.46.21].ogg,Ithea,はーい、ヴィレム先生
[cd01-0017][00.46.92-00.47.52].ogg,Willem,たく
[cd01-0018][00.48.36-00.49.90].ogg,Willem,二番、アルミタ
[cd01-0019][00.50.19-00.50.50].ogg,Almita,あい！
[cd01-0020][00.51.32-00.51.71].ogg,Willem,アルミタ
[cd01-0021][00.52.38-00.52.78].ogg,Willem,「はい」な
[cd01-0022][00.53.39-00.53.70].ogg,Almita,あい！
[cd01-0023][00.54.45-00.55.21].ogg,Willem,「はい」だ
[cd01-0024][00.56.38-00.56.62].ogg,Almita,ふ
[cd01-0025][00.57.49-00.58.70].ogg,Almita,えへー！
[cd01-0026][00.58.74-01.02.43].ogg,Almita,アルミタ「あい」って言っだろ！
[cd01-0027][01.04.70-01.04.88].ogg,Willem,ええ？
[cd01-0028][01.05.62-01.06.29].ogg,Nephren,泣かせた
[cd01-0029][01.06.72-01.07.85].ogg,Ithea,泣かせたすね
[cd01-0030][01.08.40-01.09.36].ogg,Chtholly,泣かせたわね
[cd01-0031][01.10.01-01.12.69].ogg,Willem,って、俺のせいか！？そうだのか！？
[cd01-0032][01.13.77-01.17.07].ogg,Willem,ああ、俺が悪かったから、あ、泣くなアルミタ、あ？な？
[cd01-0033][01.17.51-01.17.99].ogg,Willem,あなあ！
[cd01-0034][01.23.80-01.26.98].ogg,Nygglatho,ナイグラートのとろとろクッキング！
[cd01-0035][01.27.80-01.31.88].ogg,Lakhesh,絶品！イケメン男子の筋肉のハーブパイ包み
[cd01-0036][01.32.63-01.34.56].ogg,Nygglatho,皆さんこんにちは
[cd01-0037][01.35.00-01.38.00].ogg,Nygglatho,楽しいお料理の時間です
[cd01-0038][01.38.53-01.42.76].ogg,Nygglatho,進行は私、ちょっぴりお茶目な食いしん坊トロール
[cd01-0039][01.43.24-01.44.37].ogg,Nygglatho,ナイグラートと
[cd01-0040][01.45.05-01.50.23].ogg,Lakhesh,ちょっぴり影の薄い天然系助手の、ラキシュが担当します
[cd01-0041][01.50.74-01.55.54].ogg,Nygglatho,まずは、活きのいいイケメン男子のお肉を用意します！
[cd01-0042][01.55.74-01.56.95].ogg,Willem,でー、へー
[cd01-0043][01.56.95-01.58.26].ogg,Willem,出せ！
[cd01-0044][01.58.82-02.02.90].ogg,Lakhesh,具体的には、どういうタイプのイケメンがいいんでしょう？
[cd01-0045][02.03.32-02.04.27].ogg,Nygglatho,そうですね
[cd01-0046][02.04.66-02.08.12].ogg,Nygglatho,黒髪で栗色の瞳の、十八歳くらい
[cd01-0047][02.08.47-02.14.79].ogg,Nygglatho,長期間熟成された筋肉質で脂身の少ないお人好しが最高ですね！
[cd01-0048][02.18.33-02.20.49].ogg,Nygglatho,えっ！？食材が逃げた！？
[cd01-0049][02.20.72-02.24.07].ogg,Nygglatho,もう、スタッフ！何やってるの！
[cd01-0050][02.24.44-02.26.96].ogg,Nygglatho,しょうがない、ちょっと捕まえてくるわね！
[cd01-0051][02.29.61-02.32.03].ogg,Lakhesh,ナイグラートさーん！
[cd01-0052][02.32.92-02.35.16].ogg,Willem,あああああ！
[cd01-0053][02.38.59-02.40.40].ogg,,ゴーゴー！ティアット刑事！
[cd01-0054][02.40.93-02.41.91].ogg,Tiat,事件編
[cd01-0055][02.45.34-02.47.16].ogg,Collon,大変だ、ティアット刑事！
