filename,character,content
[01-0001][00.04.75-00.07.46].ogg,Chtholly,「いつまでも一緒にいるよ」と誓った
[01-0002][00.10.09-00.12.55].ogg,Chtholly,誓えたことが　幸せだった
[01-0003][00.15.43-00.18.26].ogg,Chtholly,この人のことが　好きだなと思った
[01-0004][00.20.56-00.23.06].ogg,Chtholly,思えたことが 　幸せだった
[01-0005][00.25.77-00.28.78].ogg,Chtholly,「幸せにしてやるよ」言ってもらえた
[01-0006][00.30.53-00.33.40].ogg,Chtholly,言ってもらえたことが　幸せだった
[01-0007][00.35.99-00.40.25].ogg,Chtholly,こんなにもたくさんの幸せを　あの人に分けてもらった
[01-0008][00.42.62-00.44.75].ogg,Chtholly,だから　きっと…
[01-0009][00.46.42-00.50.80].ogg,Chtholly,今の私は…　誰がなんと言おうと
[01-0010][00.52.47-00.55.64].ogg,Chtholly,世界一　幸せな女の子だ
[01-0011][01.19.20-01.20.54].ogg,,危ねぇだろ　金物屋！
[01-0012][01.20.66-01.22.00].ogg,,俺じゃねぇよ
[01-0013][01.21.12-01.22.50].ogg,Chtholly,こら　もう！
[01-0014][01.31.30-01.32.63].ogg,Chtholly,待ってー！
[01-0015][01.45.85-01.48.31].ogg,Chtholly,観念しなさい
[01-0016][01.50.65-01.53.07].ogg,Chtholly,キミ　危ないから　離れ…
[01-0017][01.59.12-02.00.58].ogg,Chtholly,ヴェネノム　間に合わない
[01-0018][02.11.50-02.12.42].ogg,Willem,痛い…
[01-0019][02.14.30-02.16.34].ogg,Chtholly,ごめんなさい　ケガとかない
[01-0020][02.16.67-02.18.09].ogg,Chtholly,内臓とか潰れてない
[01-0021][02.20.05-02.20.60].ogg,Chtholly,こら
[01-0022][02.24.60-02.25.98].ogg,,ねぇねぇお母さん
[01-0023][02.26.06-02.27.44].ogg,,こら　あまり見ないの
[01-0024][02.27.81-02.28.60].ogg,,おい　あいつ
[01-0025][02.28.69-02.31.48].ogg,,なんでこの島に毛皮もねぇヤツがいるんだ
[01-0026][02.30.27-02.31.81].ogg,,あの人シルシナシよ
[01-0027][02.32.11-02.33.15].ogg,Chtholly,あ　帽子
[01-0028][02.33.15-02.34.44].ogg,,ここから出て行け
[01-0029][02.34.65-02.37.20].ogg,,そうだそうだ　シルシナシは出て行けー
[01-0030][02.38.57-02.39.66].ogg,Chtholly,分かってるわよ
[01-0031][02.43.49-02.44.33].ogg,Willem,待てって
[01-0032][02.44.54-02.46.12].ogg,Chtholly,離して　私は…
[01-0033][02.46.12-02.47.33].ogg,Willem,いいから　待てって
[01-0034][02.51.21-02.54.05].ogg,Willem,さっきのチビ猫が銜えてた　お前のだろ？
[01-0035][02.55.21-02.55.80].ogg,Chtholly,ありがとう
[01-0036][02.56.76-02.57.97].ogg,Chtholly,体　大丈夫
[01-0037][02.58.22-03.01.14].ogg,Willem,ああ　お前…よそから来たのか
[01-0038][03.01.51-03.02.05].ogg,Chtholly,うん
[01-0039][03.02.43-03.04.18].ogg,Willem,ったく　しょうがねぇな
[01-0040][03.07.77-03.08.77].ogg,,おい…あいつも
[01-0041][03.09.19-03.10.35].ogg,,ああ見ろよ
[01-0042][03.10.35-03.11.94].ogg,,なんなのよ　まったく
